,Data of Column Gender and Column Income are deleted from this data set for Privacy ,,,,,,,,,,,
,,,,,,,,,,,,
ID,Marital Status,Gender,Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Purchased Bike
12496,M,,,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,42,No
24107,M,,,3,Partial College,Clerical,Yes,1,0-1 Miles,Europe,43,No
14177,M,,,5,Partial College,Professional,No,2,2-5 Miles,Europe,60,No
24381,S,,,0,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,41,Yes
25597,S,,,0,Bachelors,Clerical,No,0,0-1 Miles,Europe,36,Yes
13507,M,,,2,Partial College,Manual,Yes,0,1-2 Miles,Europe,50,No
27974,S,,,2,High School,Management,Yes,4,0-1 Miles,Pacific,33,Yes
19364,M,,,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,43,Yes
22155,M,,,2,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,58,No
19280,M,,,2,Partial College,Manual,Yes,1,0-1 Miles,Europe,40,Yes
22173,M,,,3,High School,Skilled Manual,No,2,1-2 Miles,Pacific,54,Yes
12697,S,,,0,Bachelors,Professional,No,4,10+ Miles,Pacific,36,No
11434,M,,,5,Partial College,Professional,Yes,0,0-1 Miles,Europe,55,No
25323,M,,,2,Partial College,Clerical,Yes,1,1-2 Miles,Europe,35,Yes
23542,S,,,1,Partial College,Skilled Manual,No,1,0-1 Miles,Pacific,45,Yes
20870,S,,,2,High School,Manual,Yes,1,0-1 Miles,Europe,38,Yes
23316,S,,,3,Partial College,Clerical,No,2,1-2 Miles,Pacific,59,Yes
12610,M,,,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47,No
27183,S,,,2,Partial College,Clerical,Yes,1,1-2 Miles,Europe,35,Yes
25940,S,,,2,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,55,Yes
25598,M,,,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,36,Yes
21564,S,,,0,Bachelors,Professional,Yes,4,10+ Miles,Pacific,35,No
19193,S,,,2,Partial College,Clerical,Yes,0,1-2 Miles,Europe,35,Yes
26412,M,,,5,High School,Management,No,3,5-10 Miles,Europe,56,No
27184,S,,,2,Partial College,Clerical,No,1,0-1 Miles,Europe,34,No
12590,S,,,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,63,No
17841,S,,,0,Partial College,Clerical,No,1,0-1 Miles,Europe,29,Yes
18283,S,,,0,Bachelors,Professional,No,1,5-10 Miles,Pacific,40,No
18299,M,,,5,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,44,No
16466,S,,,0,Partial High School,Manual,No,2,0-1 Miles,Europe,32,Yes
19273,M,,,2,Partial College,Manual,Yes,0,0-1 Miles,Europe,63,No
22400,M,,,0,Partial College,Manual,No,1,0-1 Miles,Pacific,26,Yes
20942,S,,,0,High School,Manual,No,1,5-10 Miles,Europe,31,No
18484,S,,,2,High School,Skilled Manual,No,2,1-2 Miles,Pacific,50,Yes
12291,S,,,5,Partial College,Professional,No,2,2-5 Miles,Europe,62,Yes
28380,S,,,5,Partial High School,Manual,No,2,0-1 Miles,Europe,41,No
17891,M,,,2,Partial College,Manual,Yes,1,0-1 Miles,Europe,50,Yes
27832,S,,,0,Partial College,Clerical,No,1,2-5 Miles,Europe,30,No
26863,S,,,0,High School,Manual,No,1,2-5 Miles,Europe,28,No
16259,S,,,4,Partial High School,Manual,Yes,2,0-1 Miles,Europe,40,Yes
27803,S,,,2,Partial College,Clerical,No,0,0-1 Miles,Europe,43,No
14347,S,,,2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,65,Yes
17703,M,,,1,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,40,No
17185,M,,,4,Partial College,Professional,No,3,5-10 Miles,Europe,48,Yes
29380,M,,,3,High School,Manual,Yes,0,0-1 Miles,Europe,41,Yes
23986,M,,,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,66,Yes
24466,M,,,1,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,46,Yes
29097,S,,,2,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,52,Yes
19487,M,,,2,Partial College,Clerical,No,2,0-1 Miles,Europe,42,No
14939,S,,,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,39,Yes
13826,S,,,0,Partial College,Clerical,No,1,0-1 Miles,Europe,28,No
20619,S,,,0,Bachelors,Professional,No,4,10+ Miles,Pacific,35,No
12558,M,,,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,65,No
24871,S,,,4,High School,Management,No,3,5-10 Miles,Europe,56,No
17319,S,,,0,Bachelors,Professional,No,1,5-10 Miles,Pacific,42,No
28906,M,,,4,High School,Professional,Yes,2,10+ Miles,Europe,54,No
12808,M,,,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,38,Yes
20567,M,,,4,Partial College,Professional,No,4,5-10 Miles,Europe,61,Yes
25502,M,,,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,43,Yes
15580,M,,,2,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,38,Yes
24185,S,,,1,High School,Manual,No,1,1-2 Miles,Europe,45,No
19291,S,,,2,High School,Manual,Yes,0,0-1 Miles,Europe,35,No
16713,M,,,2,Bachelors,Management,Yes,1,0-1 Miles,Pacific,52,Yes
16185,S,,,4,Bachelors,Professional,Yes,3,10+ Miles,Pacific,41,No
14927,M,,,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,37,Yes
29337,S,,,2,Partial College,Clerical,Yes,2,5-10 Miles,Pacific,68,No
29355,M,,,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37,Yes
25303,S,,,0,High School,Manual,Yes,1,2-5 Miles,Europe,33,Yes
14813,S,,,4,High School,Manual,Yes,1,0-1 Miles,Europe,43,Yes
16438,M,,,0,Partial High School,Manual,No,2,0-1 Miles,Europe,30,No
14238,M,,,0,Partial High School,Professional,Yes,4,10+ Miles,Pacific,36,Yes
